City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,lompoc,34.6391,-120.4579,28.21,77,9,6.71,US,1690595755
236,chibougamau,49.9168,-74.3659,11.79,76,100,4.63,CA,1690595756
237,lerwick,60.1545,-1.1494,14.0,94,93,7.05,GB,1690595756
238,isheyevka,54.4167,48.2667,20.73,79,70,2.58,RU,1690595756
239,cocieri,47.3075,29.1103,14.09,41,78,0.78,MD,1690595757
240,bathsheba,13.2167,-59.5167,27.34,94,75,7.2,BB,1690595757
241,nioki,-2.7167,17.6833,24.09,62,5,1.52,CD,1690595758
242,balkanabat,39.5108,54.3671,31.94,21,0,2.88,TM,1690595758
243,san matias,-16.3667,-58.4,24.51,60,97,3.91,BO,1690595758
244,greymouth,-42.4667,171.2,10.94,66,21,0.88,NZ,1690595759
245,lagoa,39.05,-27.9833,22.04,89,1,3.95,PT,1690595759
246,howrah,22.5892,88.3103,29.0,89,75,2.57,IN,1690595759
247,tegueste,28.5167,-16.3167,19.81,85,100,8.94,ES,1690595759
248,tazacorte,28.629,-17.9293,22.54,85,75,5.66,ES,1690595760
249,touros,-5.1989,-35.4608,23.68,84,10,5.68,BR,1690595760
250,puerto baquerizo moreno,-0.9,-89.6,23.81,83,100,4.71,EC,1690595760
251,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,73,20,4.0,RU,1690595761
252,goundam,16.4145,-3.6708,33.61,40,7,5.85,ML,1690595761
253,bareilly,28.35,79.4167,27.76,80,63,0.48,IN,1690595671
254,yaiza,28.9633,-13.7631,21.87,64,100,7.2,ES,1690595762
255,roxas,11.5853,122.7511,27.86,80,100,4.12,PH,1690595762
256,nueva esperanza,15.2667,-87.6,24.79,99,100,1.13,HN,1690595762
257,verkhovazh'ye,60.7472,42.0465,17.1,99,62,1.64,RU,1690595763
258,kegeyli shahar,42.7767,59.6078,24.05,26,0,3.94,UZ,1690595763
259,clarion,41.2148,-79.3853,23.19,82,99,3.37,US,1690595763
260,kampene,-3.6,26.6667,20.7,49,5,0.7,CD,1690595764
261,saint-pierre,-21.3393,55.4781,17.82,52,0,3.6,RE,1690595764
262,selfoss,63.9331,-20.9971,9.47,84,67,1.89,IS,1690595765
263,vilyuysk,63.7553,121.6247,23.95,34,0,3.12,RU,1690595765
264,badger,64.8,-147.5333,29.17,54,100,1.59,US,1690595765
265,bengbu,32.9408,117.3608,26.9,89,99,8.83,CN,1690595765
266,zeya,53.75,127.2667,24.91,57,62,2.52,RU,1690595765
267,mar del plata,-38.0023,-57.5575,8.38,84,0,4.12,AR,1690595766
268,callao,-12.0667,-77.15,20.16,77,75,5.14,PE,1690595766
269,bac lieu,9.285,105.7244,27.7,81,100,5.42,VN,1690595766
270,debre tabor,11.85,38.0167,11.05,89,100,0.33,ET,1690595766
271,san antonio de pale,-1.4014,5.6325,22.64,84,100,7.0,GQ,1690595767
272,luderitz,-26.6481,15.1594,12.46,83,100,4.8,NA,1690595767
273,baruun-urt,46.6806,113.2792,26.79,31,12,2.94,MN,1690595767
274,antsiranana,-12.2787,49.2917,20.69,66,1,7.49,MG,1690595768
275,koryazhma,61.3143,47.1691,18.85,95,13,2.98,RU,1690595768
276,mujiayingzi,42.1167,118.7833,27.91,49,100,2.26,CN,1690595769
277,nyurba,63.2842,118.3319,23.93,44,47,3.54,RU,1690595769
278,suntar,62.1444,117.6319,24.62,49,28,3.73,RU,1690595769
279,vadso,70.0744,29.7487,10.49,100,100,0.51,NO,1690595770
280,san pascual,13.7975,121.0342,30.35,75,100,3.81,PH,1690595770
281,patacamaya,-17.2333,-67.9167,4.31,86,87,3.65,BO,1690595770
282,guiuan,11.0333,125.7247,28.0,75,100,9.84,PH,1690595770
283,punta del este,-34.9667,-54.95,8.82,81,20,1.54,UY,1690595771
284,san pedro pochutla,15.7333,-96.4667,25.78,84,15,1.8,MX,1690595771
285,wynyard,-41.0,145.7167,12.68,90,98,6.83,AU,1690595510
286,vaasa,63.096,21.6158,14.97,99,75,5.36,FI,1690595772
287,el granada,37.5027,-122.4694,26.15,80,0,5.66,US,1690595773
288,uaua,-9.8414,-39.4817,19.86,89,14,4.93,BR,1690595773
289,pangody,65.85,74.4859,19.47,81,100,2.29,RU,1690595774
290,ban bueng,13.311,101.1121,32.59,63,69,6.15,TH,1690595725
291,queenstown,-31.8976,26.8753,14.63,39,54,3.64,ZA,1690595774
292,phongsali,21.6833,102.1058,19.66,95,99,0.59,LA,1690595775
293,margate,51.3813,1.3862,17.72,90,100,3.13,GB,1690595775
294,at taj,24.2049,23.2857,28.76,30,0,4.56,LY,1690595775
295,shingu,33.7333,135.9833,29.51,63,51,2.45,JP,1690595750
296,kokemaki,61.2565,22.3564,13.88,95,100,2.87,FI,1690595775
297,arkhangel'sk,64.5401,40.5433,16.77,95,100,4.09,RU,1690595773
298,prachuap khiri khan,12.2167,99.75,25.44,75,100,3.54,TH,1690595776
299,nova sintra,14.8667,-24.7167,22.62,79,20,9.45,CV,1690595776
300,vanimo,-2.6741,141.3028,29.43,65,88,0.49,PG,1690595777
301,vozhega,60.4725,40.2213,13.73,98,100,2.47,RU,1690595777
302,temerluh,3.4506,102.4176,29.43,90,99,1.34,MY,1690595777
303,ta`u,-14.2336,-169.5144,26.78,74,100,8.69,AS,1690595777
304,yulinshi,38.2906,109.7494,25.54,50,98,3.03,CN,1690595734
305,huoqiu chengguanzhen,32.3547,116.2939,26.54,89,100,6.11,CN,1690595778
306,egilsstadir,65.2653,-14.3948,7.95,93,100,3.6,IS,1690595778
307,vila franca do campo,37.7167,-25.4333,22.23,96,35,2.54,PT,1690595779
308,aldinga beach,-35.2793,138.4604,15.98,87,11,7.65,AU,1690595779
